pollinator_name,plant_name,PFIS_temp,PFIS_wind,PFIS_sun,robustness_score
Bombus lapidarius,Rubus fruticosus sp,-0.008404765761525738,0.0,0.006674829698025309,66.31037896893298
Bombus hypnorum,Cotoneaster atropurpureus,-0.014800628003076039,0.0,0.007980780216263668,43.893516013426186
Bombus pratorum,Rubus fruticosus sp,0.013729021173576753,0.0,0.024048981116871274,26.469730256821478
Bombus pratorum,Cotoneaster atropurpureus,-0.03164234589579638,0.0,0.006926196031996865,25.92719410233387
Bombus lucorum/terrestris,Borago officinalis,-0.04123941544431685,0.0,0.004607877837913641,21.811062711631447
Bombus hypnorum,Rubus fruticosus sp,0.019872594579437495,0.0,0.02914231873818916,20.401537629625054
Apis mellifera,Cotoneaster atropurpureus,-0.049328435153175594,0.0,0.009291409883249332,17.058778313049483
Bombus lucorum/terrestris,Centaurea nigra,0.057609151737931394,0.0,0.002474421424574113,16.643207188896675
Bombus pascuorum,Rubus fruticosus sp,0.03592719637705904,0.0,0.029393584483503515,15.308829410738571
Bombus terrestris,Centaurea nigra,-0.07407165852039213,0.0,-0.0055972271862452655,12.551794082926477
Bombus lucorum s.l.,Borago officinalis,-0.07296245653193204,0.0,-0.020770843927564335,10.66845322467746
Bombus pascuorum,Buddleja davidii,-0.06882412007745663,0.0,0.03094061653672605,10.023481346779734
Bombus vestalis,Rubus fruticosus sp,0.016596776061941966,0.0,0.08480343397099775,9.861815255213962
Bombus pascuorum,Centaurea nigra,0.10689131265383134,0.0,0.017068475546801368,8.06706713078883
Bombus lucorum/terrestris,Buddleja davidii,0.1066589982827264,0.0,0.01960814621826213,7.919653875900356
Bombus lucorum/terrestris,Rubus fruticosus sp,0.11315472199616247,0.0,0.014090176140529183,7.858799494862834
Bombus sp.,Cotoneaster atropurpureus,-0.12349961121849293,0.0,-0.015452708109068847,7.196661474798229
Bombus sp.,Buddleja davidii,-0.12655700957418894,0.0,0.014729560289835629,7.077763464701119
